d,two_theta,intensity,h,k,l,mult,phase,id
1.7388,52.5913,0.82,1,2,3,8,Cerussite,96-901-3804
1.6931,54.1246,18.13,3,1,0,4,Cerussite,96-901-3804
1.6604,55.2827,0,0,3,3,4,Cerussite,96-901-3804
1.6562,55.4332,0.2,1,4,2,8,Cerussite,96-901-3804
1.6431,55.9124,14.41,2,4,0,4,Cerussite,96-901-3804
1.6384,56.09,0.93,0,5,1,4,Cerussite,96-901-3804
1.6323,56.3153,87.52,3,1,1,8,Cerussite,96-901-3804
1.6237,56.6433,0,2,3,2,8,Cerussite,96-901-3804
1.6152,56.9671,14.81,1,5,0,4,Cerussite,96-901-3804
1.5874,58.0582,82.9,2,4,1,8,Cerussite,96-901-3804
1.5812,58.3078,0.08,1,3,3,8,Cerussite,96-901-3804
1.5794,58.381100000000004,0.36,2,1,3,8,Cerussite,96-901-3804
1.5622,59.0882,72.67,1,5,1,8,Cerussite,96-901-3804
1.5489,59.6462,1.69,3,2,1,8,Cerussite,96-901-3804
1.5369,60.1608,19.96,0,0,4,2,Cerussite,96-901-3804
1.5123,61.2401,2.09,0,1,4,4,Cerussite,96-901-3804
1.5061,61.5205,0.23,3,0,2,4,Cerussite,96-901-3804
1.5034,61.6419,48.48,2,2,3,8,Cerussite,96-901-3804
1.4875,62.3749,0.11,0,5,2,4,Cerussite,96-901-3804
1.483,62.586,22.11,3,1,2,8,Cerussite,96-901-3804
1.4751,62.9609,40.84,3,3,0,4,Cerussite,96-901-3804
1.475,62.9653,22.62,0,4,3,4,Cerussite,96-901-3804
1.4735,63.0382,0,1,0,4,4,Cerussite,96-901-3804
1.4518,64.0894,24.6,1,1,4,8,Cerussite,96-901-3804
1.4491,64.2241,20.48,2,4,2,8,Cerussite,96-901-3804
1.4453,64.4147,12.05,0,2,4,4,Cerussite,96-901-3804
1.4344,64.9635,0.27,3,3,1,8,Cerussite,96-901-3804
1.4298,65.1962,22.42,1,5,2,8,Cerussite,96-901-3804
1.4196,65.724,0.22,3,2,2,8,Cerussite,96-901-3804
1.4187,65.7727,0.35,1,4,3,8,Cerussite,96-901-3804
1.4165,65.8843,18.29,0,6,0,2,Cerussite,96-901-3804
1.398,66.8687,0,2,3,3,8,Cerussite,96-901-3804
1.3922,67.1896,0.45,1,2,4,8,Cerussite,96-901-3804
1.3848,67.5918,0.16,2,5,1,8,Cerussite,96-901-3804
1.3804,67.8409,0,0,6,1,4,Cerussite,96-901-3804
1.3509,69.5302,0.21,0,3,4,4,Cerussite,96-901-3804
1.3339,70.5486,0.03,1,6,1,8,Cerussite,96-901-3804
1.3299,70.7925,60.3,3,3,2,8,Cerussite,96-901-3804
1.3219,71.2838,28.35,2,0,4,4,Cerussite,96-901-3804
1.3097,72.0493,0.01,3,4,1,8,Cerussite,96-901-3804
1.3083,72.1411,0.08,0,5,3,4,Cerussite,96-901-3804
1.3072,72.2093,56.62,1,3,4,8,Cerussite,96-901-3804
1.3062,72.2748,0.03,2,1,4,8,Cerussite,96-901-3804
1.3052,72.3377,48.86,3,1,3,8,Cerussite,96-901-3804
1.2958,72.9474,17.95,4,0,0,2,Cerussite,96-901-3804
1.2901,73.3217,0.24,2,5,2,8,Cerussite,96-901-3804
1.2865,73.5623,26.38,0,6,2,4,Cerussite,96-901-3804
1.2819,73.8686,44.69,2,4,3,8,Cerussite,96-901-3804
1.2685,74.7814,41.59,1,5,3,8,Cerussite,96-901-3804
1.2622,75.2165,10.96,2,2,4,8,Cerussite,96-901-3804
1.2614,75.2784,0.22,3,2,3,8,Cerussite,96-901-3804
1.2541,75.7934,0,4,1,1,8,Cerussite,96-901-3804
1.2486,76.1842,0.5,1,6,2,8,Cerussite,96-901-3804
1.2453,76.4252,4.82,0,4,4,4,Cerussite,96-901-3804
1.243,76.5914,31.16,2,6,0,4,Cerussite,96-901-3804
1.2395,76.8479,4.56,4,2,0,4,Cerussite,96-901-3804
1.2287,77.6436,0.01,3,4,2,8,Cerussite,96-901-3804
1.2183,78.4343,0.06,2,6,1,8,Cerussite,96-901-3804
1.2168,78.5495,0.24,0,1,5,4,Cerussite,96-901-3804
1.215,78.689,30.94,4,2,1,8,Cerussite,96-901-3804
1.2117,78.9453,3.85,3,5,0,4,Cerussite,96-901-3804
1.2108,79.0155,0.08,1,4,4,8,Cerussite,96-901-3804
1.1979,80.0362,0.59,2,3,4,8,Cerussite,96-901-3804
1.1972,80.097,0.17,3,3,3,8,Cerussite,96-901-3804
1.194,80.3493,16.61,4,0,2,4,Cerussite,96-901-3804
1.1912,80.5834,0,0,7,1,4,Cerussite,96-901-3804
1.1888,80.7732,27.89,3,5,1,8,Cerussite,96-901-3804
1.1846,81.1209,27.54,1,1,5,8,Cerussite,96-901-3804
1.1824,81.3027,0.26,4,1,2,8,Cerussite,96-901-3804
1.1822,81.3243,3.25,1,7,0,4,Cerussite,96-901-3804
1.1811,81.4173,12.76,0,2,5,4,Cerussite,96-901-3804
1.1679,82.5312,0.1,2,5,3,8,Cerussite,96-901-3804
1.1652,82.7636,0.14,0,6,3,4,Cerussite,96-901-3804
1.1609,83.1402,26.1,1,7,1,8,Cerussite,96-901-3804
1.1573,83.4545,0.06,4,3,1,8,Cerussite,96-901-3804
1.1523,83.8988,28.7,2,6,2,8,Cerussite,96-901-3804
1.1515,83.9691,0.17,1,2,5,8,Cerussite,96-901-3804
1.1495,84.1498,9.79,4,2,2,8,Cerussite,96-901-3804
1.1483,84.2596,0.11,3,0,4,4,Cerussite,96-901-3804
1.14,85.017,0.02,0,5,4,4,Cerussite,96-901-3804
1.138,85.2049,8.13,3,1,4,8,Cerussite,96-901-3804
1.1369,85.3085,0,1,6,3,8,Cerussite,96-901-3804
1.1293,86.0202,0.03,0,7,2,4,Cerussite,96-901-3804
1.1279,86.1528,0.09,0,3,5,4,Cerussite,96-901-3804
1.1273,86.2078,9.97,3,5,2,8,Cerussite,96-901-3804
1.1224,86.6734,7.25,2,4,4,8,Cerussite,96-901-3804
1.1218,86.7334,0.15,3,4,3,8,Cerussite,96-901-3804
1.1134,87.5534,8.53,1,5,4,8,Cerussite,96-901-3804
1.1085,88.0339,0.03,3,2,4,8,Cerussite,96-901-3804
1.1063,88.2581,3.7,4,4,0,4,Cerussite,96-901-3804
1.1034,88.5541,7.23,1,7,2,8,Cerussite,96-901-3804
1.1021,88.6865,0,1,3,5,8,Cerussite,96-901-3804
1.1015,88.7489,0.92,2,1,5,8,Cerussite,96-901-3804
1.1003,88.8662,0.06,4,3,2,8,Cerussite,96-901-3804
1.0888,90.0576,23.91,4,4,1,8,Cerussite,96-901-3804
1.0862,90.3321,0.09,4,1,3,8,Cerussite,96-901-3804
