# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x-combined_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Ymi_y.1,Ymi_y.2,Ymi_y.3,Ymi_y.4,Ymi_y.5,Ymi_y.6,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,Ycens_xstar.8,Ycens_xstar.9,Ycens_xstar.10,Ycens_xstar.11,Ycens_xstar.12,Ycens_xstar.13,lprior,b_y_Intercept,b_xstar_Intercept
-121.314,0.999674,0.0143719,8,383,0,130.864,-1.7713,-7.36815,-3.45295,-5.95412,-2.11825,-4.06537,-0.257641,1.86466,0.649087,1.98467,-0.00108353,1.72237,-1.13981,-3.81575,-1.40933,-1.41816,-1.23975,-1.70736,-3.91587,-1.13826,-4.0419,-2.21665,-2.44652,-1.03024,-1.60557,-7.7887,-0.257641,-0.00108353
-126.894,0.985539,0.0154475,8,511,0,133.136,-3.78176,-6.03188,-5.04843,-6.66317,-2.40992,-5.08006,-0.502053,1.84835,1.19923,1.25672,-0.352437,1.80481,-1.89445,-2.73701,-1.45005,-1.95622,-2.10843,-1.7494,-3.32379,-1.01114,-2.08912,-3.27485,-3.46321,-1.00892,-2.3171,-7.89023,-0.502053,-0.352437
-123.792,0.999633,0.0160126,9,511,0,137.255,-3.12777,-0.0610035,-1.05031,-1.06662,-4.76567,-1.66493,0.0375684,1.58307,1.52823,2.10238,-0.544006,2.04069,-2.20004,-4.52133,-2.50609,-2.29286,-1.66576,-2.81744,-4.27676,-3.69746,-1.15578,-2.47381,-1.77938,-1.9269,-1.59041,-7.99981,0.0375684,-0.544006
-117.646,0.993867,0.0171707,9,511,0,138.24,-7.89321,-1.54524,-5.5,-8.11837,-2.2862,-6.06643,0.288394,2.10575,1.07966,1.61378,0.0353601,2.47299,-1.54078,-3.97275,-1.10244,-1.53599,-1.1457,-1.92157,-3.52192,-3.82345,-1.08384,-3.29749,-3.99994,-1.31442,-2.66716,-8.06496,0.288394,0.0353601
-116.626,0.997893,0.0181336,9,511,0,127.586,-2.38159,-10.1705,-6.73953,-1.83205,-7.32483,-2.91085,0.0439863,2.26611,0.974337,1.29404,-0.850088,2.00022,-1.22367,-2.96106,-1.5047,-1.13323,-1.57765,-1.72289,-2.47916,-1.26548,-3.96337,-2.89042,-1.18905,-3.35385,-1.39842,-7.99695,0.0439863,-0.850088
-121.586,0.996238,0.0193192,9,511,0,132.933,-10.4751,-15.1163,-8.90071,-10.2181,-6.70531,-8.00359,-0.0455299,2.22498,0.82184,2.32621,-0.508654,2.75817,-1.31231,-4.07784,-2.04577,-1.00409,-1.15857,-1.73305,-3.69248,-4.34207,-7.02225,-4.40757,-4.34336,-2.65423,-3.6169,-8.22386,-0.0455299,-0.508654
-115.938,0.994535,0.0204783,9,511,0,131.448,-4.85787,-8.8105,-2.36367,-12.5723,-1.88018,-2.93559,-0.0988575,2.09589,0.928511,2.27268,-0.517857,1.87616,-1.57314,-3.06696,-1.30788,-1.17504,-1.55888,-1.33792,-3.86589,-2.20859,-3.51831,-1.62812,-5.32506,-1.12205,-1.9282,-7.89627,-0.0988575,-0.517857
-113.898,0.999186,0.021597,7,127,0,121.796,-4.50898,-8.94455,-3.24095,-11.4097,-2.35708,-3.65999,0.128878,2.03966,1.00509,1.44884,-0.245485,2.06873,-1.39069,-3.8204,-1.39086,-2.22863,-1.42975,-1.8919,-4.24868,-1.62541,-4.24023,-1.45907,-5.61804,-1.38277,-1.70669,-7.92775,0.128878,-0.245485
-111.952,0.996653,0.0230083,8,511,0,123.067,-4.16203,-8.65417,-3.37889,-9.51665,-3.11922,-4.39574,-0.0575526,2.18541,1.01018,1.65678,-0.0730037,1.8912,-1.36589,-3.34426,-1.53912,-1.36328,-1.38202,-1.65444,-3.21302,-2.73342,-3.74549,-1.77531,-3.89143,-1.26078,-1.80972,-7.85863,-0.0575526,-0.0730037
-111.386,0.951353,0.0243404,9,511,0,125.601,-5.20521,-3.15213,-4.08394,-0.998037,-5.46239,-3.27455,0.342494,2.02366,0.815445,1.57489,-0.469963,1.57681,-1.43646,-3.1237,-1.9692,-1.61606,-2.05197,-1.90211,-3.32741,-3.10179,-1.7354,-1.84888,-1.02185,-2.5792,-1.99193,-7.77694,0.342494,-0.469963
