# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,lprior,b_y_Intercept,b_xstar_Intercept
-93.7355,0.965569,0.130807,5,31,0,100.267,0.128511,2.02753,0.73863,1.61099,-0.124536,1.66706,-1.28777,-3.4653,-1.5386,-1.08692,-2.09447,-1.09744,-3.27178,-7.76804,0.128511,-0.124536
-95.3067,0.207568,0.18777,3,15,0,99.3497,0.310961,2.10672,0.808791,1.65523,-0.394241,1.99082,-1.19451,-3.42366,-1.5997,-1.08542,-2.08242,-1.10015,-3.939,-7.90143,0.310961,-0.394241
-91.1969,0.998793,0.0573014,5,31,0,97.3729,-0.175503,2.23963,0.842761,1.68414,0.162847,1.56286,-1.35236,-2.90868,-1.53869,-1.0872,-1.33449,-1.12646,-3.05206,-7.74127,-0.175503,0.162847
-94.0438,0.655314,0.0880125,5,31,0,98.4063,0.0123402,2.23722,1.02371,1.9622,-0.175002,2.00325,-1.35201,-3.42399,-1.20482,-1.10677,-1.73269,-1.21473,-3.80545,-7.90285,0.0123402,-0.175002
-90.7377,0.99693,0.0673118,5,63,0,95.8435,0.0058546,2.15433,0.806408,1.88812,0.381123,1.78178,-1.27441,-3.15871,-1.57119,-1.05555,-1.28077,-1.95068,-3.33669,-7.80365,0.0058546,0.381123
-93.8775,0.380649,0.102457,4,15,0,100.765,-0.131073,2.09699,1.12965,1.42356,0.302681,1.80799,-1.2838,-2.95278,-1.45784,-1.07503,-1.27838,-1.26038,-2.98005,-7.83517,-0.131073,0.302681
-96.2498,0.998084,0.0453488,6,127,0,104.693,-0.000866394,1.97579,0.946326,1.41707,0.465551,1.71751,-1.0197,-4.3447,-1.49179,-1.92475,-1.21622,-1.26125,-3.41835,-7.79524,-0.000866394,0.465551
-95.4965,0.978909,0.0690195,6,63,0,102.22,0.135599,1.8965,0.915704,1.14649,0.358394,1.78196,-1.83614,-2.84561,-1.80568,-1.09114,-1.82092,-2.51141,-3.21411,-7.80536,0.135599,0.358394
-96.2004,0.950226,0.100715,4,15,0,102.788,0.0965401,1.83027,1.35434,1.60367,0.34726,1.97466,-2.64194,-3.06713,-1.61281,-1.12421,-1.75144,-1.67388,-3.84586,-7.90302,0.0965401,0.34726
-96.5537,0.645409,0.138381,4,15,0,102.506,0.515064,1.74662,0.805348,1.57282,0.367663,1.98393,-2.0478,-4.17067,-2.5672,-1.13983,-1.91659,-1.24643,-3.90985,-7.86335,0.515064,0.367663
-93.689,0.963436,0.104315,4,15,0,103.353,-0.111212,1.93264,1.05702,1.71922,0.0998209,1.73198,-1.98017,-3.8149,-2.12786,-1.17993,-1.525,-1.19677,-4.1398,-7.8046,-0.111212,0.0998209
-94.027,0.908301,0.146577,5,31,0,100.036,-0.14436,2.31422,0.988216,1.62262,0.500163,1.72852,-1.09492,-2.49964,-1.14213,-1.56489,-1.66641,-1.18025,-2.61454,-7.80882,-0.14436,0.500163
-95.4725,0.4094,0.184456,3,15,0,98.0662,-0.22173,2.42432,1.03805,1.61216,0.458551,1.67051,-1.08057,-2.65286,-1.14657,-1.7855,-1.62278,-1.20658,-2.36733,-7.79485,-0.22173,0.458551
-95.1879,0.976311,0.0883396,5,31,0,99.1526,0.0580486,2.08597,1.28792,2.3826,0.465393,1.79591,-1.27772,-2.40853,-2.07606,-1.43575,-1.47433,-1.18906,-3.12676,-7.84324,0.0580486,0.465393
-92.9508,0.788183,0.126708,5,31,0,98.6588,-0.116092,1.98422,0.82222,2.5575,0.069084,1.83596,-1.56791,-3.62135,-1.0975,-1.68504,-1.61397,-1.10064,-3.97597,-7.82506,-0.116092,0.069084
-92.9486,0.959192,0.12635,4,15,0,96.5881,0.134917,2.10659,1.01363,1.26999,0.256184,1.68796,-1.82536,-3.03693,-1.0735,-1.73594,-1.74771,-1.1662,-3.18281,-7.77918,0.134917,0.256184
-92.9486,0.151734,0.174529,3,15,0,98.5009,0.134917,2.10659,1.01363,1.26999,0.256184,1.68796,-1.82536,-3.03693,-1.0735,-1.73594,-1.74771,-1.1662,-3.18281,-7.77918,0.134917,0.256184
-95.1587,0.984436,0.0519419,6,63,0,98.8699,-0.124323,1.92284,1.06351,2.72594,-0.0547031,1.85953,-1.27305,-3.92079,-1.15751,-1.51224,-1.10126,-2.19665,-3.18154,-7.85309,-0.124323,-0.0547031
-93.676,0.967663,0.0753203,5,63,0,103.75,-0.0269938,2.26464,0.908828,1.26634,-0.236705,1.65895,-1.01953,-3.00858,-1.34694,-1.6585,-1.25718,-1.28511,-3.50198,-7.78828,-0.0269938,-0.236705
-90.9262,0.94337,0.105476,5,31,0,96.7611,0.261685,1.81109,0.756,2.33921,-0.30717,2.39331,-1.43757,-3.50383,-2.06458,-1.46791,-2.13003,-1.84297,-4.2878,-8.039,0.261685,-0.30717
-91.0582,0.905537,0.140711,4,15,0,94.78,-0.0279236,1.97342,0.829154,2.38901,-0.213109,2.31994,-1.50303,-3.48347,-2.07524,-1.54139,-2.11076,-1.92194,-4.2199,-8.01248,-0.0279236,-0.213109
-94.7912,0.00825286,0.174485,4,15,0,103.367,-0.0223002,1.92971,1.02029,2.00626,0.00922357,1.62704,-1.58008,-3.69734,-2.01008,-1.65685,-1.9744,-2.26805,-5.10947,-7.76895,-0.0223002,0.00922357
-94.282,0.999228,0.0408219,5,63,0,99.472,-0.237977,1.82496,0.950898,1.9422,0.281585,1.435,-1.35086,-3.32262,-1.81696,-1.2376,-1.33468,-1.52492,-3.42142,-7.71451,-0.237977,0.281585
-93.7702,0.988293,0.0603896,6,63,0,99.486,0.0774754,1.89219,0.94012,1.41862,0.655118,1.77892,-1.59828,-3.50155,-1.18274,-1.7973,-1.54645,-1.79045,-4.70617,-7.82664,0.0774754,0.655118
-94.3653,0.985241,0.0872611,5,31,0,97.6085,-0.0110579,1.91386,0.868264,2.77928,-0.39361,2.67658,-1.53483,-3.07662,-1.18864,-1.68069,-1.87184,-1.68742,-3.90845,-8.17566,-0.0110579,-0.39361
-94.8885,0.86583,0.124991,4,15,0,99.5534,0.326707,2.04595,0.962547,0.995976,0.812288,2.00509,-1.13755,-3.01473,-1.84494,-1.58678,-1.46302,-1.69422,-2.92158,-7.91739,0.326707,0.812288
-96.4386,0.430241,0.143529,4,15,0,103.865,0.18584,2.14522,1.23292,1.08498,0.174202,1.80817,-1.09888,-3.74402,-1.57997,-2.41779,-1.70391,-1.94928,-2.23094,-7.83221,0.18584,0.174202
-96.4386,0.00867851,1.193,2,3,0,99.9547,0.18584,2.14522,1.23292,1.08498,0.174202,1.80817,-1.09888,-3.74402,-1.57997,-2.41779,-1.70391,-1.94928,-2.23094,-7.83221,0.18584,0.174202
-96.4386,0,2.83005,0,1,1,102.143,0.18584,2.14522,1.23292,1.08498,0.174202,1.80817,-1.09888,-3.74402,-1.57997,-2.41779,-1.70391,-1.94928,-2.23094,-7.83221,0.18584,0.174202
-93.1627,0.900821,0.280349,4,15,0,101.291,0.0664892,1.92918,0.813368,2.88315,0.0131416,1.81837,-1.26113,-3.48605,-1.88955,-1.04751,-1.74838,-1.50404,-3.54958,-7.81438,0.0664892,0.0131416
-90.2877,0.996896,0.224773,4,15,0,94.8781,0.0205849,1.99931,0.811412,1.54119,0.212334,1.69987,-1.80648,-3.7612,-1.47592,-1.13652,-1.39788,-1.77795,-3.79928,-7.77378,0.0205849,0.212334
