# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-3-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-3-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.388336
# Diagonal elements of inverse mass matrix:
# 0.000459643, 0.834881, 0.912687, 0.0212678, 0.707355
-63.8299,0.936399,0.388336,3,7,0,66.0718,0.0949895,9.31837,0.880425,0.668035,9.85977,-8.3814,4.66389
-64.462,0.502096,0.388336,3,7,0,68.1091,0.101164,10.2938,0.963187,0.646118,6.77481,-8.51765,5.33676
-64.1559,0.903365,0.388336,3,7,0,65.818,0.0909461,9.64298,0.863684,0.629084,13.4628,-8.43863,5.18662
-64.1559,0.0672415,0.388336,2,3,0,69.0935,0.0909461,9.64298,0.863684,0.629084,13.4628,-8.43863,5.18662
-64.6583,0.781596,0.388336,4,15,0,66.3605,0.0976016,9.22244,0.881746,0.581118,10.265,-8.3757,4.43996
-64.408,0.993527,0.388336,4,15,0,66.0686,0.0829768,9.55161,0.895978,0.623107,15.1665,-8.48762,5.48575
-68.505,0.543157,0.388336,3,7,0,69.4054,0.0590983,9.05633,0.994525,0.581672,3.64419,-8.75675,6.16052
-65.4196,0.956881,0.388336,3,7,0,69.3814,0.111535,9.50265,0.830723,0.626374,20.4418,-8.71163,4.03746
-66.2956,0.9936,0.388336,3,7,0,66.7263,0.0876524,9.36643,0.983309,0.758121,9.18149,-8.40163,5.07146
-67.309,0.999931,0.388336,2,7,0,68.5117,0.0777301,9.61235,0.99655,0.662814,13.3253,-8.44852,5.80358
-65.6029,0.937013,0.388336,3,7,0,68.5858,0.104056,9.98966,0.842716,0.58709,10.4551,-8.41026,4.8909
-65.4385,1,0.388336,3,7,0,67.3639,0.0842795,9.34614,0.952245,0.63562,3.61606,-8.76569,5.21644
-65.6464,0.882572,0.388336,3,7,0,67.4563,0.075021,10.0733,0.964362,0.635058,7.63009,-8.46143,6.39723
-66.3184,0.98937,0.388336,2,3,0,66.6561,0.0713442,10.0665,0.969748,0.613985,6.97317,-8.48453,6.57063
-65.1725,1,0.388336,3,7,0,68.6203,0.0858917,10.3336,0.97179,0.660899,9.80457,-8.45534,6.12492
-64.3783,1,0.388336,2,3,0,65.4721,0.097343,9.52672,0.959464,0.660983,8.00336,-8.41948,4.75691
-65.0735,0.93268,0.388336,3,7,0,66.8279,0.111396,10.7631,0.964942,0.614842,16.9207,-8.67097,5.30463
-64.8418,0.97686,0.388336,3,15,0,66.6661,0.0890807,9.74797,0.955743,0.662957,4.9437,-8.60526,5.38302
-65.4474,0.990399,0.388336,3,7,0,67.2094,0.08954,9.74214,0.943441,0.509325,10.4392,-8.39858,5.35468
