# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-1-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-1-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.399116
# Diagonal elements of inverse mass matrix:
# 0.000444258, 0.849562, 0.834675, 0.026671, 0.787792
-66.7634,0.880167,0.399116,3,7,0,68.9987,0.099283,10.4684,0.968036,0.495623,2.58676,-9.07369,5.60356
-67.359,0.81017,0.399116,4,15,0,69.7319,0.0601599,8.28462,0.983118,0.818137,24.1319,-8.94685,5.33678
-64.2695,0.718717,0.399116,3,7,0,70.043,0.102933,10.0998,0.88436,0.743756,11.585,-8.44143,5.05612
-63.6658,1,0.399116,2,7,0,64.5192,0.0958946,9.67838,0.942936,0.70478,22.5973,-8.84844,4.97954
-65.5802,0.771147,0.399116,2,3,0,68.7151,0.102903,9.70735,0.831619,0.744714,54.8867,-11.1837,4.66512
-64.6099,0.603463,0.399116,3,7,0,67.5273,0.0963823,9.3746,0.960875,0.678666,8.78222,-8.40008,4.65187
-65.5609,0.92577,0.399116,2,3,0,66.3614,0.0856761,10.4695,0.950754,0.621247,6.12777,-8.56777,6.27135
-65.1335,0.964744,0.399116,2,7,0,66.8662,0.0840955,10.1598,0.936474,0.588606,5.04717,-8.61923,6.0391
-63.9342,0.931961,0.399116,4,15,0,68.2817,0.100204,10.2382,0.94607,0.667389,24.796,-9.01594,5.32819
-64.6776,0.972021,0.399116,2,7,0,65.3145,0.115514,10.5796,0.953048,0.639726,10.0041,-8.48214,4.91941
-65.2312,0.746821,0.399116,2,3,0,67.8852,0.108229,10.3571,0.973127,0.584926,12.3118,-8.47937,5.05391
-68.1277,0.862869,0.399116,3,7,0,71.9348,0.117127,9.8765,0.871488,0.972412,33.4064,-9.56304,4.13725
-66.4944,1,0.399116,3,7,0,69.5769,0.0990207,10.016,0.978747,0.493312,2.98463,-8.92834,5.16394
-66.3764,0.75097,0.399116,3,7,0,68.8714,0.0900953,10.565,0.976157,0.545511,7.81043,-8.50424,6.15028
-67.5099,0.983942,0.399116,3,7,0,68.437,0.0550713,8.6937,0.952739,0.775467,7.94461,-8.41618,5.99521
-67.4826,1,0.399116,2,3,0,67.8424,0.055224,8.65521,0.961652,0.781641,7.74277,-8.42413,5.94924
-64.4004,0.951725,0.399116,2,7,0,69.5069,0.0853577,9.78905,0.924458,0.774068,14.1821,-8.48021,5.60652
-63.7405,0.962584,0.399116,3,7,0,66.2315,0.10116,9.9396,0.947807,0.605628,10.3642,-8.4171,4.98277
-64.0129,0.985673,0.399116,3,7,0,64.3161,0.0890082,9.52193,0.878202,0.609846,9.98515,-8.38438,5.16053
