# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-191.82,0.998978,0.27035,4,15,0,192.198,-0.237032,0.769794,1.22821,-0.237032
-192.484,0.99288,0.466511,3,7,0,192.793,-0.507539,0.669911,1.10965,-0.507539
-191.982,0.968691,0.785785,2,7,0,193.806,-0.0916994,0.647169,1.22753,-0.0916994
-191.786,0.730812,1.23448,2,3,0,192.575,-0.445503,0.716788,1.11005,-0.445503
-191.324,1,1.05517,2,3,0,191.715,-0.385159,0.727057,1.14481,-0.385159
-191.324,0.0564467,1.77705,1,1,0,192.019,-0.385159,0.727057,1.14481,-0.385159
-192.716,0.971049,0.282683,3,7,0,193.143,-0.302487,0.814105,1.15998,-0.302487
-191.109,1,0.443967,2,7,0,193.07,-0.163575,0.739062,1.13578,-0.163575
-191.466,0.903897,0.743742,3,7,0,192.215,-0.101804,0.673663,1.21131,-0.101804
-193.794,0.656314,0.978268,2,3,0,194.474,-0.360422,0.590467,1.08433,-0.360422
-193.258,1,0.703611,1,1,0,193.852,-0.344104,0.605132,1.08733,-0.344104
-191.543,0.894321,1.16197,2,3,0,192.808,-0.279721,0.674004,1.10267,-0.279721
-191.197,1,1.48043,1,1,0,191.479,-0.272383,0.695101,1.11976,-0.272383
-191.197,0,2.41562,0,1,1,197.73,-0.272383,0.695101,1.11976,-0.272383
-191.565,0.871298,1.48324,1,1,0,191.637,-0.200183,0.661335,1.11004,-0.200183
-191.565,0,16.8854,0,1,1,192.345,-0.200183,0.661335,1.11004,-0.200183
-191.565,1.24107e-08,2.66245,1,1,0,192.858,-0.200183,0.661335,1.11004,-0.200183
-191.91,0.998115,0.252408,4,15,0,192.234,-0.0620463,0.643883,1.14201,-0.0620463
-192.263,0.972958,0.331256,4,15,0,194.531,0.153064,0.700508,1.21351,0.153064
-192.688,0.935822,0.470214,3,15,0,195.054,-0.434775,0.805382,1.16976,-0.434775
-192.685,1,0.649327,3,7,0,193.253,0.0520393,0.632856,1.16694,0.0520393
-192.403,1,1.14891,2,3,0,193.141,-0.503657,0.782447,1.19454,-0.503657
-192.403,1.17765e-07,2.10152,1,1,0,195.533,-0.503657,0.782447,1.19454,-0.503657
-192.718,0.997182,0.166443,5,31,0,193.749,-0.129135,0.608391,1.23642,-0.129135
-192.937,0.993702,0.308575,3,15,0,194.433,-0.172274,0.611372,1.26801,-0.172274
-193.6,0.98666,0.571465,3,7,0,194.119,-0.0322966,0.638307,1.31646,-0.0322966
-192.972,0.987185,1.03881,2,3,0,194.766,-0.19347,0.771674,1.3056,-0.19347
-192.972,0.138716,1.89024,2,3,0,196.656,-0.19347,0.771674,1.3056,-0.19347
-191.931,0.999767,0.243192,4,15,0,193.589,0.0147077,0.709535,1.24933,0.0147077
-191.441,0.953554,0.463464,3,15,0,194.275,-0.248536,0.682008,1.10128,-0.248536
-191.131,0.995036,0.761441,3,7,0,191.894,-0.134357,0.74586,1.16225,-0.134357
-193.308,0.291707,1.41213,2,3,0,194.691,-0.470154,0.59519,1.18301,-0.470154
-192.321,0.964704,0.308198,3,15,0,196.673,-0.315435,0.610778,1.19102,-0.315435
-191.88,0.996956,0.521627,3,7,0,192.994,-0.277332,0.685337,1.26126,-0.277332
-191.043,0.973602,0.96457,3,7,0,192.478,-0.24672,0.693537,1.14457,-0.24672
-191.043,0.0669988,1.64877,1,1,0,193.368,-0.24672,0.693537,1.14457,-0.24672
-191.016,0.995063,0.19589,4,23,0,192.734,-0.260989,0.698434,1.16425,-0.260989
-192.888,0.975918,0.358287,3,7,0,193.003,-0.377094,0.727695,1.03897,-0.377094
-193.561,0.963748,0.614046,3,7,0,195.054,-0.304754,0.732502,1.34818,-0.304754
-192.936,0.972108,1.00739,3,7,0,195.155,0.156831,0.802997,1.2202,0.156831
-191.494,0.628785,1.67839,2,3,0,192.786,-0.236534,0.722999,1.0875,-0.236534
-191.182,0.993995,1.05701,3,7,0,191.611,-0.176578,0.696651,1.20771,-0.176578
-191.182,0.164797,1.85527,1,3,0,192.433,-0.176578,0.696651,1.20771,-0.176578
-192.489,0.983795,0.326702,3,15,0,193.167,-0.528549,0.759965,1.2375,-0.528549
-192.638,0.990298,0.557901,2,3,0,193.155,-0.598096,0.755264,1.22224,-0.598096
-193.849,0.830983,0.961154,2,3,0,194.925,-0.735704,0.696797,1.23695,-0.735704
-194.056,0.978421,1.06849,2,3,0,195.579,0.262788,0.700931,1.07148,0.262788
-194.224,0.32855,1.75823,2,3,0,197.836,-0.482212,0.65036,1.03639,-0.482212
-193.288,0.993693,0.512674,3,7,0,195.802,0.0368024,0.750383,1.32153,0.0368024
-194.558,0.831576,0.876269,3,7,0,198.855,-0.486912,0.554632,1.20382,-0.486912
-191.308,1,0.972904,2,3,0,194.532,-0.0864882,0.687382,1.12344,-0.0864882
-191.308,0.100678,1.66762,1,1,0,192.662,-0.0864882,0.687382,1.12344,-0.0864882
-192.703,0.969398,0.281391,3,11,0,196.492,-0.0764575,0.628567,1.25903,-0.0764575
-192.434,0.976354,0.446607,4,15,0,196.269,-0.345976,0.640254,1.25925,-0.345976
-191.994,1,0.716335,3,7,0,192.735,-0.00347566,0.715703,1.07655,-0.00347566
-191.789,0.88788,1.21059,2,3,0,193.43,-0.342346,0.715062,1.25166,-0.342346
-192.169,0.314399,1.53504,2,3,0,195.021,-0.368278,0.782992,1.21912,-0.368278
-191.926,0.989033,0.469257,3,15,0,192.934,-0.356663,0.644932,1.21403,-0.356663
-195,0.873286,0.765344,2,5,0,195.934,-0.539439,0.841821,1.10066,-0.539439
-191.355,1,0.934587,2,3,0,194.583,-0.3325,0.749174,1.14129,-0.3325
-191.355,0.402063,1.54676,1,3,0,193.321,-0.3325,0.749174,1.14129,-0.3325
-191.89,0.954565,0.603253,3,7,0,192.334,-0.299226,0.633574,1.13712,-0.299226
-193.266,0.951122,0.892036,3,7,0,193.555,-0.226125,0.576324,1.22646,-0.226125
-193.068,0.890245,1.30129,2,3,0,194.672,-0.218607,0.604551,1.08896,-0.218607
-194.126,0.730814,1.63612,2,3,0,195.016,0.108558,0.845265,1.17852,0.108558
-193.367,1,1.41184,2,3,0,193.744,-0.579606,0.628402,1.17123,-0.579606
-193.367,2.25179e-08,2.28299,1,1,0,194.311,-0.579606,0.628402,1.17123,-0.579606
-191.848,1,0.363727,3,7,0,193.638,-0.214621,0.629355,1.18815,-0.214621
-194.425,0.942144,0.589543,3,7,0,194.665,-0.546183,0.616422,1.30593,-0.546183
-194.244,1,0.832187,2,7,0,194.92,-0.517843,0.594418,1.27519,-0.517843
-191.811,0.8452,1.3335,2,3,0,193.692,0.077168,0.766968,1.17146,0.077168
-192.712,0.687927,1.4986,2,3,0,193.871,-0.433587,0.655069,1.07959,-0.433587
-194.994,0.728447,1.18232,2,3,0,195.773,-0.500392,0.733087,0.999003,-0.500392
-195.61,0.965746,1.02371,2,3,0,196.397,-0.597043,0.756742,1.00495,-0.597043
-193.193,0.60688,1.50111,2,3,0,196.856,-0.0096908,0.810241,1.09324,-0.0096908
-191.692,1,0.994861,2,3,0,193.372,-0.290203,0.673667,1.23937,-0.290203
-191.692,0.089867,1.56529,2,3,0,196.76,-0.290203,0.673667,1.23937,-0.290203
-191.006,0.988234,0.338514,2,7,0,193.31,-0.261447,0.702064,1.16466,-0.261447
-191.703,0.97303,0.519653,2,7,0,192.046,-0.479336,0.731489,1.15024,-0.479336
-192.628,0.845214,0.768251,3,7,0,193.794,0.230748,0.772194,1.21084,0.230748
-191.266,0.938382,0.860355,3,7,0,193.165,-0.369495,0.698079,1.17531,-0.369495
-192.957,0.720095,1.173,2,3,0,193.708,-0.638485,0.778756,1.15827,-0.638485
-191.521,1,1.00453,2,3,0,193.086,-0.384598,0.75324,1.14638,-0.384598
-191.521,0.257678,1.55226,1,3,0,192.922,-0.384598,0.75324,1.14638,-0.384598
-193.074,0.935787,0.505345,3,15,0,193.281,-0.144445,0.583037,1.19698,-0.144445
-191.513,0.932949,0.682467,3,7,0,194.489,-0.148913,0.755811,1.21905,-0.148913
-191.26,1,0.913302,2,3,0,191.647,-0.0602992,0.721083,1.2034,-0.0602992
-191.08,0.963811,1.39877,2,3,0,191.415,-0.16018,0.729287,1.12934,-0.16018
-191.08,0.17669,1.98039,2,3,0,192.127,-0.16018,0.729287,1.12934,-0.16018
-193.922,0.900593,0.561838,3,7,0,194.673,0.0911521,0.803547,1.30799,0.0911521
-194.295,0.909152,0.700448,3,7,0,196.663,-0.0497763,0.608905,1.32731,-0.0497763
-191.162,1,0.886435,2,3,0,194.356,-0.147039,0.67858,1.14667,-0.147039
-192.983,0.723692,1.34297,1,3,0,193.112,-0.178678,0.600864,1.10367,-0.178678
-192.398,0.885205,1.16682,2,3,0,194.165,-0.0938531,0.785447,1.25252,-0.0938531
-193.096,1,1.39937,2,3,0,193.56,0.301471,0.71213,1.19494,0.301471
-193.096,0.000117535,2.10228,1,1,0,193.365,0.301471,0.71213,1.19494,0.301471
-191.553,0.995738,0.439442,4,15,0,194.022,-0.387781,0.71049,1.22004,-0.387781
-191.786,0.98764,0.655685,3,7,0,192.235,-0.127298,0.665132,1.09466,-0.127298
-192.897,0.889521,0.959326,2,3,0,193.803,-0.423755,0.678076,1.29938,-0.423755
-192.396,0.975,1.15601,2,3,0,193.882,0.0774989,0.79719,1.16032,0.0774989
-193.059,0.614679,1.64025,2,3,0,193.504,-0.5668,0.638258,1.19285,-0.5668
-192.475,0.883656,1.16011,2,3,0,194.685,-0.235341,0.706227,1.30274,-0.235341
-191.858,0.804889,1.37742,2,3,0,194.065,-0.07702,0.641095,1.15702,-0.07702
-192.121,0.937264,1.40524,2,3,0,192.176,-0.279343,0.796253,1.16475,-0.279343
-192.121,0.0064497,1.84254,1,1,0,194.473,-0.279343,0.796253,1.16475,-0.279343
-193.138,0.905331,0.415343,3,7,0,196.486,-0.341124,0.770109,1.04499,-0.341124
-192.952,1,0.514325,4,15,0,193.194,-0.101584,0.654441,1.30489,-0.101584
-194.092,0.981516,0.758969,3,7,0,195.114,-0.329291,0.719817,0.999149,-0.329291
-191.901,1,1.07836,2,3,0,194.505,-0.364192,0.7499,1.24214,-0.364192
-192.567,0.936355,1.58081,2,3,0,192.813,-0.325015,0.755307,1.28882,-0.325015
-193.918,0.270809,2.05339,2,3,0,194.127,0.374548,0.757369,1.10145,0.374548
-193.006,0.937904,0.781613,3,7,0,196.281,-0.59027,0.714323,1.26794,-0.59027
-194.383,0.850615,1.01885,2,3,0,196.147,-0.849362,0.776726,1.16413,-0.849362
-192.984,0.875325,1.12992,2,3,0,195.282,0.0853328,0.648396,1.10685,0.0853328
-192.178,0.94984,0.654757,3,7,0,195.919,-0.569876,0.727349,1.18627,-0.569876
-192.178,0,8.598,0,1,1,193.054,-0.569876,0.727349,1.18627,-0.569876
-192.082,0.378823,1.41432,2,3,0,192.846,-0.346157,0.631505,1.13204,-0.346157
-191.699,0.970328,0.376932,3,7,0,193.673,-0.467074,0.727965,1.19706,-0.467074
-191.312,0.988501,0.498966,3,7,0,192.278,-0.00660147,0.728383,1.13629,-0.00660147
-191.332,0.903027,0.782553,2,3,0,192.593,0.0125642,0.715296,1.17549,0.0125642
-191.139,0.744338,1.01303,2,3,0,192.376,-0.1936,0.707267,1.11519,-0.1936
-191.139,0.67261,0.825918,2,3,0,193.551,-0.1936,0.707267,1.11519,-0.1936
-192.673,0.904957,0.542485,2,3,0,193.106,-0.505398,0.640245,1.14035,-0.505398
-192.181,0.994163,0.746621,3,7,0,193.392,-0.0205467,0.66091,1.24446,-0.0205467
-193.119,0.574825,1.37546,2,3,0,193.711,-0.42706,0.819398,1.17061,-0.42706
-192.215,1,0.676582,3,7,0,193.888,-0.15935,0.620427,1.21443,-0.15935
-191.262,0.640527,1.27886,2,3,0,192.231,-0.00276624,0.720474,1.16843,-0.00276624
-191.968,0.941962,0.781293,2,3,0,192.167,0.0863166,0.7735,1.14717,0.0863166
-191.968,0.000250735,1.23061,2,3,0,194.943,0.0863166,0.7735,1.14717,0.0863166
-191.848,0.999653,0.104363,5,31,0,192.455,0.139569,0.736612,1.17034,0.139569
-193.088,0.990255,0.198515,3,7,0,193.888,0.309521,0.76545,1.1302,0.309521
-191.922,0.980924,0.364237,3,7,0,194.515,-0.0182868,0.7075,1.25559,-0.0182868
-191.194,0.991882,0.644517,2,3,0,192.26,-0.294976,0.688726,1.19243,-0.294976
-193.338,0.520831,1.16903,2,3,0,194.852,0.0684272,0.756278,1.31776,0.0684272
-193.398,0.99473,0.515827,3,7,0,194.982,-0.523558,0.629832,1.10576,-0.523558
