# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,lprior,b_Intercept
-193.071,0.944883,0.577864,2,7,0,198.819,-0.182166,0.61994,1.14329,-2.8879,-0.182166
-193.15,0.75676,0.887215,2,3,0,194.803,-0.334554,0.714209,1.07342,-3.11656,-0.334554
-195.121,0.731875,0.804455,2,7,0,196.373,-0.735053,0.708027,1.12071,-3.10905,-0.735053
-192.261,1,0.682487,2,3,0,195.041,-0.215006,0.676144,1.15354,-3.02127,-0.215006
-192.261,0.0901402,1.20263,1,1,0,194.241,-0.215006,0.676144,1.15354,-3.02127,-0.215006
-193.78,0.986288,0.181011,4,15,0,194.476,0.142123,0.774947,1.20976,-3.42587,0.142123
-193.045,0.999001,0.307957,3,15,0,194.064,0.114334,0.70724,1.16919,-3.15148,0.114334
-194.734,0.925243,0.537246,2,3,0,195.067,0.218218,0.797332,1.1196,-3.51825,0.218218
-195.496,0.989154,0.765169,2,3,0,195.857,0.411091,0.760455,1.11181,-3.38431,0.411091
-193.954,1,1.28028,1,1,0,195.306,0.238017,0.763481,1.14952,-3.37614,0.238017
-193.954,0.000111859,2.18544,1,1,0,194.324,0.238017,0.763481,1.14952,-3.37614,0.238017
-193.602,1,0.283669,4,15,0,195.242,-0.161007,0.704545,1.29776,-3.14625,-0.161007
-192.389,0.995156,0.48577,2,7,0,194.195,-0.0890254,0.709679,1.19449,-3.14363,-0.0890254
-192.583,0.79528,0.81502,2,3,0,194.071,-0.0062403,0.726841,1.1422,-3.19931,-0.0062403
-192.924,0.966773,0.821398,2,7,0,193.306,0.0480373,0.725918,1.21171,-3.21817,0.0480373
-192.381,0.904208,1.26911,2,3,0,193.026,-0.279383,0.666118,1.16463,-2.99292,-0.279383
-192.381,4.78106e-06,1.66888,3,7,0,202.965,-0.279383,0.666118,1.16463,-2.99292,-0.279383
-192.39,0.999477,0.237067,4,15,0,192.741,-0.285002,0.696368,1.12147,-3.07054,-0.285002
-193.24,0.96267,0.396404,3,7,0,193.851,-0.0443787,0.638587,1.21999,-2.95573,-0.0443787
-193.959,0.946118,0.601869,3,7,0,194.158,-0.456386,0.778435,1.10873,-3.3747,-0.456386
-192.855,0.814368,0.872999,2,3,0,196.024,-0.00450797,0.665425,1.19195,-3.01831,-0.00450797
-194.574,0.397438,0.919549,2,3,0,197.257,0.100448,0.80367,1.23712,-3.56003,0.100448
-193.682,1,0.359862,3,7,0,195.444,-0.164752,0.781408,1.24223,-3.43094,-0.164752
-194.219,0.989079,0.590084,2,3,0,194.441,-0.266342,0.791511,1.26033,-3.47557,-0.266342
-192.364,0.984203,0.936912,2,3,0,194.594,-0.207599,0.735674,1.15847,-3.21899,-0.207599
-192.364,0.352274,1.46182,1,3,0,194.697,-0.207599,0.735674,1.15847,-3.21899,-0.207599
-192.465,0.946495,0.526356,2,7,0,194.052,-0.32212,0.68943,1.20142,-3.06605,-0.32212
-193.274,0.861086,0.75149,2,3,0,193.861,0.0894334,0.74176,1.11001,-3.25888,0.0894334
-193.318,0.930986,0.878883,2,3,0,193.83,-0.106492,0.770194,1.10152,-3.35318,-0.106492
-196.315,0.234877,1.20197,2,3,0,196.936,0.538663,0.751136,1.15107,-3.38029,0.538663
-193.369,0.770801,0.341049,4,15,0,203.094,-0.4813,0.649725,1.20242,-2.95523,-0.4813
-192.476,0.999886,0.326384,3,7,0,193.478,-0.0693537,0.734417,1.1442,-3.22157,-0.0693537
-193.1,0.969953,0.520392,2,7,0,193.34,-0.320845,0.62558,1.20873,-2.90694,-0.320845
-192.756,1,0.772144,3,7,0,193.77,-0.053561,0.753248,1.18526,-3.30601,-0.053561
-193.973,0.613199,1.21818,1,1,0,194.19,-0.167529,0.79799,1.22624,-3.50371,-0.167529
-193.288,1,0.820272,2,3,0,194.473,-0.201449,0.681974,1.27968,-3.06916,-0.201449
-194.504,0.465356,1.28665,1,1,0,194.823,-0.0551987,0.60378,1.27919,-2.90179,-0.0551987
-194.686,0.980669,0.631911,3,7,0,195.65,-0.22887,0.816507,1.23232,-3.59229,-0.22887
-192.361,0.848632,0.947256,2,3,0,194.614,-0.306995,0.694501,1.13311,-3.06637,-0.306995
-192.361,1.06077e-05,1.06582,1,1,0,197.866,-0.306995,0.694501,1.13311,-3.06637,-0.306995
-193.416,0.992512,0.197124,4,15,0,193.643,-0.336989,0.772435,1.11149,-3.3515,-0.336989
-192.718,0.998551,0.302825,3,15,0,194.027,-0.345032,0.678277,1.22183,-3.03733,-0.345032
-193.176,0.899798,0.468912,2,7,0,195.232,-0.232432,0.610414,1.18638,-2.8772,-0.232432
-195.144,0.827798,0.587767,2,7,0,196.634,-0.377459,0.820794,1.11435,-3.58041,-0.377459
-195.546,0.943113,0.632679,2,7,0,197.802,-0.752868,0.659508,1.2127,-2.98866,-0.752868
-193.735,1,0.863852,2,7,0,195.921,0.0225752,0.767536,1.0855,-3.35071,0.0225752
-193.735,0.150545,1.32165,2,3,0,195.953,0.0225752,0.767536,1.0855,-3.35071,0.0225752
-192.753,0.98851,0.353399,3,7,0,195.423,-0.254944,0.684933,1.08835,-3.0298,-0.254944
-192.355,0.980662,0.528218,3,7,0,193.252,-0.206211,0.730558,1.13762,-3.19522,-0.206211
-192.61,0.980906,0.773837,2,3,0,192.623,-0.187633,0.751298,1.13849,-3.27656,-0.187633
-195.53,0.461142,1.12981,1,3,0,197.134,-0.594303,0.628025,1.30559,-2.93339,-0.594303
-194.017,0.985924,0.578915,3,7,0,196.388,0.0920341,0.797073,1.16926,-3.51111,0.0920341
-194.136,0.987046,0.85167,2,7,0,194.179,-0.436084,0.58997,1.17737,-2.83513,-0.436084
-193.604,0.348451,1.25093,1,3,0,195.015,0.103559,0.654667,1.16273,-2.99639,0.103559
-193.889,0.972714,0.517583,3,7,0,195.366,0.12985,0.768302,1.23998,-3.40268,0.12985
-195.138,0.950172,0.738034,2,3,0,195.771,0.087955,0.715703,1.34553,-3.2204,0.087955
-193.144,0.774325,1.00347,2,3,0,196.421,-0.411199,0.649199,1.2194,-2.95884,-0.411199
-192.985,0.961725,0.965448,2,3,0,193.59,0.0980247,0.736185,1.16621,-3.25139,0.0980247
-192.791,0.899265,1.33677,2,3,0,193.722,-0.0673199,0.758302,1.14571,-3.31625,-0.0673199
-192.791,0.037376,1.63552,1,1,0,195.776,-0.0673199,0.758302,1.14571,-3.31625,-0.0673199
-192.758,0.980252,0.380682,2,7,0,194.837,-0.151485,0.743565,1.10425,-3.2408,-0.151485
-193.25,0.97215,0.545927,2,5,0,194.002,-0.217879,0.663988,1.27149,-3.01631,-0.217879
-194.298,0.894678,0.768362,2,7,0,195.018,-0.656346,0.704782,1.23074,-3.12076,-0.656346
-194.453,0.760847,0.930706,2,3,0,195.951,-0.385613,0.577246,1.2398,-2.834,-0.385613
