# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x-combined_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Ymi_y.1,Ymi_y.2,Ymi_y.3,Ymi_y.4,Ymi_y.5,Ymi_y.6,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,Ycens_xstar.8,Ycens_xstar.9,Ycens_xstar.10,Ycens_xstar.11,Ycens_xstar.12,Ycens_xstar.13,lprior,b_y_Intercept,b_xstar_Intercept
-123.173,0.998339,0.0236791,8,255,0,138.947,-7.9495,-2.58406,-4.45043,-8.68139,-2.84977,-4.39333,0.398938,2.14259,0.84922,1.96813,-0.545081,1.48139,-1.66273,-3.37072,-1.88412,-1.12677,-2.16917,-1.42407,-3.60848,-3.66278,-1.01012,-2.70151,-4.11673,-1.01147,-2.38422,-7.76166,0.398938,-0.545081
-119.736,0.998081,0.0251006,9,767,0,135.059,-3.00232,-5.32584,-5.74285,-7.14056,-11.2789,-2.65328,-0.400615,2.19742,1.05421,2.0228,-0.203491,2.19688,-1.29802,-3.92152,-1.64248,-1.4292,-1.71522,-1.21086,-3.41616,-1.3859,-1.39564,-2.47951,-2.88443,-4.3688,-2.11883,-7.99617,-0.400615,-0.203491
-122.385,0.969174,0.0265667,8,447,0,134.597,-5.05163,-2.82442,-4.07269,-6.92564,-2.41122,-6.63965,-0.481478,1.9347,0.864526,1.91624,-0.848422,1.49946,-1.2721,-3.69981,-1.05469,-1.5005,-1.07909,-1.47129,-3.35301,-2.75381,-1.05759,-1.88846,-2.88795,-1.41226,-2.97591,-7.85436,-0.481478,-0.848422
-122.383,0.994855,0.0262997,8,255,0,135.43,-9.21274,-2.91637,-8.6557,-5.0115,-4.73694,-1.79489,0.571497,1.70451,1.44179,2.03159,-0.657793,3.08786,-3.18467,-5.19687,-1.57675,-3.53864,-1.9216,-3.42839,-4.28634,-4.9067,-2.83997,-6.36322,-3.34687,-2.28951,-2.05598,-8.42471,0.571497,-0.657793
-120.719,0.99897,0.0275948,9,511,0,133.288,-2.45837,-2.45582,-4.72293,-2.88575,-6.31214,-2.76819,-0.23795,2.17785,0.939204,1.65492,0.16693,1.51303,-1.38663,-2.9539,-1.15769,-1.34754,-1.15296,-1.19991,-3.87975,-1.04717,-1.57893,-1.89458,-1.81196,-2.51576,-1.01878,-7.73519,-0.23795,0.16693
-120.446,0.996169,0.0292008,7,127,0,130.952,-2.369,-3.96116,-3.2918,-3.88707,-5.38818,-0.457279,0.300433,1.80354,1.12648,1.77204,-0.0608553,2.25124,-1.14468,-3.6662,-2.25434,-1.76897,-2.40261,-1.22161,-3.04957,-1.46432,-1.34203,-2.09817,-1.58265,-2.70638,-1.5702,-7.9864,0.300433,-0.0608553
-121.811,0.995301,0.0306802,7,127,0,133.565,-3.95537,-2.74401,-2.09308,-5.45203,-5.77659,-3.74343,-0.231302,2.00555,0.841713,1.94741,-0.428671,1.31774,-1.06802,-3.10651,-1.44258,-1.71931,-1.26292,-1.03623,-3.24959,-1.55574,-1.24574,-1.054,-2.79004,-2.42595,-1.07785,-7.71757,-0.231302,-0.428671
-115.706,0.99715,0.0321474,7,127,0,127.87,-3.04851,-2.86396,-2.86666,-4.35137,-5.46569,-0.67228,0.077912,2.13432,0.744097,1.51838,-0.419148,1.99293,-1.34262,-3.71383,-1.7322,-1.29891,-1.53959,-1.05607,-3.8948,-1.35592,-1.56512,-1.22198,-2.1928,-2.68899,-1.06375,-7.90674,0.077912,-0.419148
-111.755,0.992047,0.0337982,7,127,0,123.35,-2.95268,-3.02927,-2.78623,-4.99095,-5.74074,-1.39668,0.141779,2.02604,0.800003,2.29526,-0.307526,2.08514,-1.73063,-3.38825,-1.42174,-1.54623,-1.3961,-1.06916,-3.48567,-1.31896,-1.56462,-1.65906,-2.79527,-2.83831,-1.17238,-7.92755,0.141779,-0.307526
-115.383,0.996699,0.0351104,8,255,0,121.367,-5.06943,-1.65524,-3.46394,-4.04409,-7.64956,-2.62483,0.354101,1.99164,0.725676,1.6003,0.0789134,2.43883,-1.21916,-3.75989,-1.79776,-1.83204,-1.34247,-1.05105,-4.19462,-2.30974,-1.34246,-1.83271,-2.40887,-4.03506,-1.20213,-8.02857,0.354101,0.0789134
