# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,lprior,b_y_Intercept,b_xstar_Intercept
-92.9739,0.963705,0.0935652,4,15,0,99.7624,0.235559,1.92687,0.895241,1.8164,-0.18741,1.50837,-1.10055,-3.83354,-1.91844,-1.5987,-1.85909,-1.49599,-4.67335,-7.73151,0.235559,-0.18741
-92.9739,0.0110466,0.144654,3,13,1,104.021,0.235559,1.92687,0.895241,1.8164,-0.18741,1.50837,-1.10055,-3.83354,-1.91844,-1.5987,-1.85909,-1.49599,-4.67335,-7.73151,0.235559,-0.18741
-92.9685,0.998323,0.0217548,6,95,0,99.3756,-0.264481,2.04015,0.978113,2.18535,-0.261441,1.58506,-1.30708,-2.64871,-1.57808,-1.59027,-1.77015,-1.16947,-3.81368,-7.78248,-0.264481,-0.261441
-91.2719,0.999759,0.0367143,4,15,0,96.1416,0.384924,2.06905,0.73107,2.04287,-0.156445,1.90494,-1.25714,-3.44177,-1.61331,-1.5558,-1.72671,-1.18056,-3.68103,-7.8433,0.384924,-0.156445
-93.6989,0.990841,0.0617134,5,63,0,100.736,0.00633789,2.12724,1.08955,2.03326,0.225598,1.64119,-2.00577,-2.97445,-1.46676,-1.66465,-1.45463,-1.03252,-2.80652,-7.77324,0.00633789,0.225598
-96.7671,0.942812,0.10081,5,31,0,99.9662,0.341071,1.93792,1.05894,2.59218,-0.24151,2.43046,-1.65287,-3.60255,-1.68965,-1.32593,-1.54426,-1.02484,-4.20284,-8.06384,0.341071,-0.24151
-95.1849,0.25007,0.14594,5,31,0,108.943,-0.0271986,2.24774,1.08098,1.20379,0.05002,1.59336,-1.09883,-3.44969,-1.62066,-1.96696,-1.08038,-2.00481,-2.58729,-7.7616,-0.0271986,0.05002
-95.0854,0.990513,0.0410688,6,95,0,100.433,-0.0841087,2.00068,0.962457,1.49205,-0.338146,2.07902,-1.12193,-3.11064,-1.88231,-2.08419,-1.05333,-2.20671,-3.1366,-7.945,-0.0841087,-0.338146
-94.0412,0.996892,0.0665283,5,31,0,98.1562,0.570526,1.9229,0.880979,2.04764,0.0479128,1.82975,-1.14398,-3.90852,-1.70766,-2.0844,-1.1094,-1.98027,-4.54806,-7.8146,0.570526,0.0479128
-93.9632,0.777963,0.108675,5,31,0,99.3005,-0.140024,2.06352,0.845135,1.73861,-0.0050227,1.50046,-1.19269,-3.75744,-1.31081,-1.149,-1.11463,-1.17728,-2.97308,-7.72608,-0.140024,-0.0050227
-95.4273,0.896869,0.106338,5,31,0,101.481,-0.47374,2.06658,1.07383,1.95671,0.4946,1.63183,-1.3645,-2.59666,-1.15759,-1.1287,-1.22028,-1.63059,-3.52609,-7.80141,-0.47374,0.4946
-95.0932,0.960454,0.136739,4,15,0,102.188,-0.183208,2.00465,1.08998,2.0791,-0.320784,2.10788,-1.08246,-2.98486,-1.14923,-1.86661,-1.42144,-2.00179,-4.16993,-7.96609,-0.183208,-0.320784
-95.1593,0.273879,0.202612,2,7,0,98.0672,-0.0867842,2.0076,0.775666,2.02737,-0.423948,1.93256,-1.1011,-2.66916,-1.16831,-1.87073,-1.45451,-2.13696,-4.10258,-7.8934,-0.0867842,-0.423948
-96.3103,0.816239,0.0629632,6,63,0,104.469,-0.0436694,1.93481,1.31276,1.75678,-0.434607,2.07684,-1.82317,-4.15373,-1.33629,-1.08085,-1.68713,-1.50293,-3.56019,-7.98025,-0.0436694,-0.434607
-94.8372,0.974066,0.0673842,5,31,0,102.818,0.0769081,2.03425,1.04092,1.79118,-0.16619,1.71047,-1.12936,-2.68859,-1.35038,-2.1099,-1.17387,-1.18567,-4.12942,-7.80349,0.0769081,-0.16619
-92.4218,0.962161,0.102597,3,7,0,97.1451,-0.105969,2.23793,0.869643,1.9666,0.354772,1.68656,-1.14678,-3.04515,-1.42932,-2.00847,-1.21487,-1.2036,-2.63876,-7.77984,-0.105969,0.354772
