# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,lprior,b_Intercept
-192.858,1,0.884865,2,3,0,194.123,-0.0355559,0.75478,1.13038,-3.30132,-0.0355559
-194.023,0.53056,1.67242,1,1,0,194.286,-0.0603289,0.763459,1.28659,-3.37229,-0.0603289
-192.797,0.994133,0.747747,2,3,0,194.631,-0.290051,0.742127,1.10699,-3.22761,-0.290051
-193.398,0.467954,1.38082,2,3,0,194.341,-0.326797,0.719141,1.27632,-3.18129,-0.326797
-193.447,0.99413,0.519705,3,7,0,194.131,-0.0542448,0.637452,1.10352,-2.92537,-0.0542448
-192.744,0.807177,0.954883,1,3,0,194.824,-0.201297,0.72956,1.23335,-3.21438,-0.201297
-193.116,0.95304,1.00001,2,3,0,193.317,-0.128973,0.710086,1.06629,-3.11275,-0.128973
-193.116,0.0492688,1.6056,2,3,0,194.668,-0.128973,0.710086,1.06629,-3.11275,-0.128973
-193.119,0.987116,0.184969,4,15,0,196.238,0.103457,0.712414,1.12636,-3.15766,0.103457
-193.627,0.991977,0.329939,3,7,0,194.252,0.216186,0.73857,1.18514,-3.28107,0.216186
-192.44,1,0.5911,3,7,0,193.767,-0.317175,0.729914,1.15665,-3.19157,-0.317175
-193.684,0.810274,1.07286,1,3,0,193.698,-0.550541,0.744332,1.12114,-3.23492,-0.550541
-193.52,0.94737,1.13151,2,3,0,194.534,0.115083,0.664613,1.18997,-3.02963,0.115083
-193.52,0.0668606,1.74677,2,3,0,195.808,0.115083,0.664613,1.18997,-3.02963,0.115083
-194.603,0.982874,0.2353,3,15,0,195.968,0.333389,0.727757,1.13998,-3.24904,0.333389
-195.605,0.996743,0.402715,3,7,0,196.327,0.482443,0.754821,1.19151,-3.39313,0.482443
-193.383,0.964256,0.709375,2,5,0,195.703,-0.544306,0.68024,1.171,-3.02855,-0.544306
-193.62,0.746436,1.13426,2,3,0,195.009,0.090109,0.648457,1.18345,-2.98448,0.090109
-193.981,0.966781,1.0057,2,3,0,194.244,-0.572002,0.770397,1.14917,-3.34888,-0.572002
